model_name,slice_dimension,slice_value,rows,WAPE,Bias
SEASONAL_NAIVE,fms_class,M,60,0.22699608296409726,-0.11279279694503376
SEASONAL_NAIVE,fms_class,S,108,0.27990436809702696,-0.19845892862570383
CONV1D_ATTENTION_GLOBAL,promotion_flag,False,876,0.16269936536667176,0.005429459833862089
CONV1D_ATTENTION_GLOBAL,promotion_flag,True,276,0.14031208714543927,0.09208308222545646
CROSTON_SBA,promotion_flag,False,876,0.20040333621738993,0.0833014441508725
CROSTON_SBA,promotion_flag,True,276,0.17074864206883283,0.13496741381744248
ETS_A_N_A,promotion_flag,False,876,0.17712608506689806,-0.021711721068136743
ETS_A_N_A,promotion_flag,True,276,0.12106522691370265,0.03592246101597991
EXTRA_TREES,promotion_flag,False,876,0.13416291853040269,-0.0320042373628312
EXTRA_TREES,promotion_flag,True,276,0.10595289411741443,0.005134652196616053
EXTRA_TREES_DAMPED_TREND,promotion_flag,False,876,0.15065810249059466,-0.03747547750229568
EXTRA_TREES_DAMPED_TREND,promotion_flag,True,276,0.11822265158006609,0.02117083431920512
EXTRA_TREES_RESPONSIVE,promotion_flag,False,876,0.1345347329409616,-0.02738267491719786
EXTRA_TREES_RESPONSIVE,promotion_flag,True,276,0.11149985398236226,0.002751670095751739
LIGHTGBM,promotion_flag,False,876,0.1428679634565581,-0.008939925924493839
LIGHTGBM,promotion_flag,True,276,0.1228664824496666,-0.0022485378956042263
MOVING_AVERAGE_3,promotion_flag,False,876,0.2016396954554441,-0.09519071765805359
MOVING_AVERAGE_3,promotion_flag,True,276,0.12540415106087272,-0.029089022992360162
SEASONAL_NAIVE,promotion_flag,False,876,0.19212907545635646,-0.07281833979555555
SEASONAL_NAIVE,promotion_flag,True,276,0.13398202529202474,-0.012164203330157308
CONV1D_ATTENTION_GLOBAL,shutdown_flag,False,1052,0.16000810666160095,0.04138628710319414
CONV1D_ATTENTION_GLOBAL,shutdown_flag,True,100,0.12366234606369714,-0.040999861259072276
CROSTON_SBA,shutdown_flag,False,1052,0.1955905472340766,0.11035312710532079
CROSTON_SBA,shutdown_flag,True,100,0.15834533238936377,0.012207426069555289
ETS_A_N_A,shutdown_flag,False,1052,0.15712095695026265,0.013917998460842384
ETS_A_N_A,shutdown_flag,True,100,0.18197161482894458,-0.14319353641273724
EXTRA_TREES,shutdown_flag,False,1052,0.13391302272777544,-0.022849011860614256
EXTRA_TREES,shutdown_flag,True,100,0.060677208775828335,-0.003522456846630066
EXTRA_TREES_DAMPED_TREND,shutdown_flag,False,1052,0.15211367742447912,-0.023001401673092656
EXTRA_TREES_DAMPED_TREND,shutdown_flag,True,100,0.05268555462296925,0.007368942693469064
EXTRA_TREES_RESPONSIVE,shutdown_flag,False,1052,0.13700197374550252,-0.020917279202460986
EXTRA_TREES_RESPONSIVE,shutdown_flag,True,100,0.05386991104546079,0.003176194082364489
LIGHTGBM,shutdown_flag,False,1052,0.1436734408368982,-0.014394684169241773
LIGHTGBM,shutdown_flag,True,100,0.08316509867086279,0.05113701694418468
