dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
B,ETS,test,9,103.0,0.1205264468780226,5772.1210380744715,-457.79576710480814,1.1369359586048362,1896.2548754085544,0.5533980582524272
B,ETS,test,10,103.0,0.1261916844591979,6300.760574301243,66.36628174244947,1.0825582614544609,2022.892519645457,0.5339805825242718
B,ETS,test,11,103.0,0.1172983915601073,6634.027110402831,-812.3413587458635,1.184032121143018,2031.8433080138473,0.5436893203883495
B,ETS,test,12,103.0,0.1419293905992258,6673.570753231943,-309.57628595201425,1.2102889786259827,2178.7050238116467,0.4660194174757281
B,ETS,val,0,618.0,0.1297530603325722,5735.822387518213,-1109.0244166823195,1.1172939126333898,1992.9199797770664,0.5614886731391586
B,ETS,val,1,103.0,0.1065886412535212,4197.426866658871,1169.0644993816322,0.8706502906647707,1508.8439693965938,0.4174757281553398
B,ETS,val,2,103.0,0.0999998469270733,4148.369239124771,-211.35035506983843,0.9091003079715068,1487.1758788726784,0.5145631067961165
B,ETS,val,3,103.0,0.133867896533759,5633.343841210443,-730.1729765116,1.099744605933897,2029.0357077621857,0.6019417475728155
B,ETS,val,4,103.0,0.1236236628408661,5659.243328097312,-2113.2868600892843,1.1093575120202015,1962.4470325510215,0.6019417475728155
B,ETS,val,5,103.0,0.1682706977056394,7937.800631689451,-4057.26482133687,1.544970878908248,2839.0901676751037,0.7475728155339806
B,ETS,val,6,103.0,0.1399632650949971,5983.336391470686,-711.1359864679539,1.169939880301715,2130.927122404817,0.4854368932038835
B,SARIMA,test,0,1236.0,0.2173241917366471,13827.714808306917,554.065186428966,1.953623547085717,3355.7150646956375,0.4449838187702265
B,SARIMA,test,1,103.0,0.1812331943725258,7924.357120138585,1374.4190957985827,1.4666350804002135,2741.8083753844626,0.4077669902912621
B,SARIMA,test,2,103.0,0.1534686911237513,6672.97397560337,182.2387091344276,1.4056246459698107,2356.892443958426,0.4660194174757281
B,SARIMA,test,3,103.0,0.1634741024858224,7532.918615573017,811.6713792059599,1.6453978572300216,2613.3319191369465,0.4077669902912621
B,SARIMA,test,4,103.0,0.1652201642185194,7708.931921395854,-588.7894606330044,1.408337304083171,2515.861979250381,0.5048543689320388
B,SARIMA,test,5,103.0,0.1956247753967748,9160.539785993416,201.35507254540653,1.7413373924764748,2831.015275103883,0.4271844660194174
B,SARIMA,test,6,103.0,0.1865813227430963,8716.241476545174,169.57886887726946,1.7148848452236811,2743.688314017572,0.4466019417475728
B,SARIMA,test,7,103.0,0.2170471026680218,11254.8058897819,-826.1660989099908,1.9498874897352052,3235.6012351023123,0.5339805825242718
B,SARIMA,test,8,103.0,0.2537230315831322,13429.502883645486,1206.6163629414575,2.1629379399073563,3824.3413900833134,0.4077669902912621
B,SARIMA,test,9,103.0,0.2480618324032007,14166.572244385448,-585.6047429175293,2.3146892227005007,3902.782097056259,0.4271844660194174
B,SARIMA,test,10,103.0,0.2735006266223052,19384.659054060194,1732.1499404634092,2.31913042298512,4384.3013434969625,0.4271844660194174
B,SARIMA,test,11,103.0,0.2306908544056304,14981.474205089866,-374.3562738956968,2.4135807109385894,3996.028099872848,0.4563106796116505
B,SARIMA,test,12,103.0,0.3337276429379915,28340.07669418453,3345.6693845372997,2.9010396533784593,5122.928303884281,0.4271844660194174
B,SARIMA,val,0,618.0,140363376637644.66,7.000696155078785e+19,4.3117746435135503e+18,925857284256712.2,2.1558873217567844e+18,0.5372168284789643
B,SARIMA,val,1,103.0,17207415.737373274,3521423398821.0415,487168319852.63947,108611801.71253616,243584167683.327,0.5631067961165048
B,SARIMA,val,2,103.0,5139969.072059346,1532945888995.3796,152880977716.95132,21764074.096654285,76440497230.88873,0.5145631067961165
B,SARIMA,val,3,103.0,111513209391.79022,2.4447184889313364e+16,3380411429484428.0,752485823629.6292,1690205714751364.2,0.5631067961165048
B,SARIMA,val,4,103.0,18920174286.195267,6089887155141578.0,600691470045751.5,84947861475.85692,300345735032031.94,0.4757281553398058
B,SARIMA,val,5,103.0,695895754433566.4,1.6976605245796496e+20,2.3482529294498443e+19,5217341493566782.0,1.174126464724923e+19,0.5339805825242718
B,SARIMA,val,6,103.0,78297275106352.81,2.41936932180441e+19,2.384136823634036e+18,336964647912512.1,1.1920684118170268e+18,0.5728155339805825
B,XGBOOST,test,0,14832.0,0.1165231717415132,5349.681647694426,-1065.3745709103416,1.0257406764346122,1799.240846932256,0.5695118662351673
B,XGBOOST,test,1,1236.0,0.1091520666355023,4939.835477406829,-1041.5775207717056,0.9762575827192655,1685.4231985147717,0.5720064724919094
B,XGBOOST,test,2,1236.0,0.1097860690687834,5079.217344583334,-940.3255081917476,0.9919628507180488,1695.212865736878,0.5574433656957929
