Material Code,,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,,Maximum stock,Stacking quantity,MOQ,Difference,Order Delivery,Order Quantity,,Pallet requirement,Pallet requirement,,,Issuing,,,,,,
,,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,Buffer Days,,,,,,,,,,,,,,,,,,
100201,Bags,POLYETHELYENE GLYCOL ( PEG 1500 ), 701 , 836 , 498 , 648 , 648 , 30 , 759 ,60,2," 1,517.09 ",14758.24644,281.7579799," 1,798.85 ", 71.14 ,353.9155114, 14.00 ," 1,112 ",500,250, (509), 30 , 759 , (509), 2.22 , 3 ,419.12,466253.9867,372,,,,,,
100903,Bags,HOT MELT ADHESIVE DMC 5227," 1,875 ", 723 ," 1,605 "," 1,323 "," 1,585 ", 30 ," 1,663 ",60,2," 3,325.06 ",190962.7169,1013.521902," 4,338.58 ", 78.29 ,1273.08239, 22.97 ," 2,936 ",1000,1000, (663), 30 ," 1,663 ", (663), 2.94 , 3 ,668.59,1962720.669,46,,,,,,
101273,Drum,FIXATE FREE STYLE POLYMER," 1,017 ", 957 ," 1,517 ", 474 , 894 , 30 ," 1,028 ",65,2.166666667," 2,227.70 ",138128.168,897.1829773," 3,124.88 ", 91.18 ,1126.94935, 32.88 ," 2,215 ",868,1088.5, 60 , 30 ," 1,089 ", -   , 2.55 , 3 ,2219.98,4918253.247,352,,,,,,
101409,Drum,CITRUS SKY ( SRILEX 1886 ), 943 , 329 , 453 , 453 , 453 , 30 , 721 ,75,2.5," 1,802.69 ",57112.84875,619.6989551," 2,422.39 ", 100.78 ,778.4023461, 32.39 ," 1,139 ",500,100, (621), 15 , 361 , (261), 2.28 , 3 ,2096.26,2387514.73,48,,,,,,
101463,Bags,TRIPOTASSIUM CITRATE G 2040," 1,071 "," 1,002 ", 644 , 749 , 793 , 30 , 837 ,65,2.166666667," 1,813.95 ",31850.40374,430.8215014," 2,244.77 ", 80.44 ,541.1538372, 19.39 ," 1,378 ",625,25, (812), 30 , 837 , (812), 2.21 , 3 ,517.82,713743.6483,941,,,,,,
101467,Reel,NEW RL.PAPER PRNTD. CENTER 50mm - PURPLE," 1,399 ", 510 ," 1,219 "," 1,085 "," 1,211 ", 30 ," 1,188 ",65,2.166666667," 2,575.08 ",115686.7979,821.0730532," 3,396.15 ", 85.73 ,1031.34786, 26.03 ," 2,220 ",900,500, (688), 30 ," 1,188 ", (688), 2.47 , 3 ,509.85,1131788.399,37,,,,,,
101489,Drum,FLOWER POWER MOD 434033 (J)," 1,606 "," 1,156 ", 936 , 619 , 619 , 30 ," 1,944 ",50,1.666666667," 3,239.46 ",171248.5481,876.1564691," 4,115.62 ", 63.52 ,1100.538004, 16.99 ," 2,072 ",800,200," (1,744)", 15 , 972 , (772), 2.59 , 3 ,1563.75,3240678.455,#N/A,,,,,,
101623,Drum,SUNFLOWER SMILE 1MP 2," 1,380 ", 378 , 728 ," 1,164 ", 527 , 30 , 738 ,50,1.666666667," 1,230.77 ",180303.1667,899.0211316," 2,129.79 ", 86.52 ,1129.258251, 45.88 ," 1,498 ",800,200, (538), 15 , 369 , (169), 1.87 , 2 ,1983.89,2972839.137,39,,,,,,
101625,Drum,WINDING PATH," 1,127 ", 786 , 741 , 712 , 594 , 30 ," 1,452 ",75,2.5," 3,630.80 ",40196.52521,519.8859832," 4,150.69 ", 85.74 ,653.0275155, 13.49 ," 1,379 ",720,100," (1,352)", 15 , 726 , (626), 1.92 , 2 ,1557.2,2147671.877,#N/A,,,,,,
101763,Drum,LUXURY CREME," 1,617 ", 462 ," 1,086 "," 1,249 ", 646 , 30 ," 1,225 ",60,2," 2,450.31 ",216128.4855,1078.23854," 3,528.55 ", 86.40 ,1354.3728, 33.16 ," 1,967 ",720,100," (1,125)", 15 , 613 , (513), 2.73 , 3 ,2140.35,4209961.866,73,,,,,,
